,n,m,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
0,296,23,2983.9369420525218,9.172280531435568,9225.34465865404,7.148584568462766,13965.311844903947,8.865802752417775,21503.564086544287,10.578798195341701
1,296,23,3036.9662618283933,9.231941130268588,9145.426268815909,8.020404351997284,16012.098788654319,4.532748989246848,21873.636765999872,6.574783034302163
2,296,23,2501.6969170866823,5.1008029280134215,9129.455404148308,10.696303972633519,14252.018547633787,6.645472690045738,21005.192259887554,7.7429266481818555
3,296,23,3005.989222527458,4.771873504427637,8482.81216702289,6.838826290147265,15325.767580871761,8.999456660571786,21711.088021791453,6.749130248880457
4,296,23,3323.6522519850887,5.892768034940694,9144.604186318164,7.262940956576825,15324.354964697353,8.595578891855586,22825.633112433905,7.201083325837214
5,418,38,7441.3762521912395,8.548027495408675,17103.594026017294,6.271002784039263,29002.832723625368,6.739488131983885,41967.95691188897,4.772082730938461
6,418,38,6955.146809610041,5.980325139507963,16621.87558742227,6.371337951044237,28011.16183825546,7.488027592792498,39051.158660803165,8.142482319149217
7,418,38,6241.496678792157,23.043712799222355,16473.657953035166,18.096615792794047,27407.070314854594,19.085072237427337,39355.16534563374,11.140864783958587
8,418,38,7012.419498170797,5.115818739302919,19357.123911024828,7.188450715782262,30486.227856804315,7.009656543618826,40414.04082961316,6.484460802111851
9,418,38,5402.991343642534,11.367516339354482,16250.008682301559,19.35618803915629,30188.0690068661,15.157730182430658,43191.841123495215,11.362158906634882
10,221,94,2853.51288225578,2.8745228360431385,8783.456077778541,2.268038954763896,15982.671168289984,2.472234214047751,26297.48583546218,2.6318337603957644
11,221,94,3058.2991902179806,4.299772764406247,8315.9030169637,2.54122428508994,16656.178271478155,1.6715223213773651,27479.01060474114,1.7400999236917323
12,221,94,2696.8146503361995,4.152895751036377,8473.773179600392,1.8698607736758606,15402.623789496261,2.1865935642949195,25552.934705573687,3.6557172296342157
13,221,94,2059.0144758611996,2.030828206302612,7613.037443909214,2.7767342093433713,15338.962298308084,3.2207851786378416,26871.215263927894,2.523567257315625
14,221,94,3001.561612043768,2.2766186698750737,7908.769575090515,3.118210154719617,16265.497973489539,2.4417417624056292,25602.22314512895,2.5041727170075374
15,184,64,2426.851616273827,29.290910515898048,6282.077618358897,28.585072014307997,12820.153146341596,30.234056283464497,18571.02268304093,29.95939582212641
16,184,64,1994.271507483233,28.114676468755594,6677.5767441052,27.88247583532282,11842.991861925213,26.044493419569815,17308.60409087754,26.777703921333526
17,184,64,2184.6499496971824,26.812147362386796,7199.866205406879,30.98574440194735,13298.89624378801,19.915113901926045,19243.6418153926,43.04989548849542
18,184,64,2418.977453220775,16.84166260332733,7187.665191448486,15.679311079136362,14575.909973065183,21.43121317184525,20218.362067181653,21.793140972179216
19,184,64,2463.0879858386606,13.259374632313111,6991.047151454293,20.41461133045228,14122.254804406548,20.050298256278076,19739.42099247991,17.85709894385493
20,324,23,3782.106808544477,19.217167520516234,9251.579594455585,13.169960024990065,16338.109981395632,9.980919425489986,22562.73557602387,9.698023110174677
21,324,23,4673.627648029296,13.257573471675457,14044.165223499007,17.842164859058897,19699.676082669903,12.616741983005003,25489.691752129424,15.073839061396239
22,324,23,4256.02716203698,8.597031846349184,11242.836334844442,9.740163130117017,16547.82592055532,5.567130538302006,23979.276781240165,12.096026941310573
