,n,p,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
0,32,0.29,88.77862165960755,6.0565541064483055,236.5850273375827,11.285088580808587,448.98607964877715,10.442089109368013,716.1986497983835,8.015153834798006
1,32,0.29,54.93993668582968,9.305890189658125,213.26166514164558,5.999673040843563,509.68149060164654,7.171565889824503,730.0764356255686,9.168596099830491
2,32,0.29,111.14337213738614,12.396896614855102,281.883177323653,9.464582123782858,455.36791250559054,11.492871662606444,740.8787326519505,12.268709362001342
3,32,0.29,62.37494797363959,12.899935759461055,262.2331602424948,11.863004767777731,443.25707729503006,11.162795823942542,710.4395096240993,9.92427052600623
4,32,0.29,52.0509867224823,5.215796192217288,216.65835938490994,8.63177824601107,367.180065401429,8.362404754105256,801.892454752691,9.428659759427
5,30,0.25,40.13211481935688,6.482114845942423,138.77797297944153,7.225717584583403,318.08374337062446,9.086439353455084,751.2152181831565,8.426733365911481
6,30,0.25,36.03273799537068,4.333450853970646,205.25900656447772,11.571328917643886,337.14165198350395,9.37423420549661,619.4066989936455,9.128002884620045
7,30,0.25,31.52548790934521,16.769885658811397,118.7138607928047,9.379658390921515,343.7952412706953,8.481245871999818,518.9978095466704,9.23555499349258
8,30,0.25,39.57529735208864,10.397130800432462,148.40540873747165,7.738768057682073,318.73052792757846,10.037101789237843,584.3323921006912,8.371459014342623
9,30,0.25,89.74316307016275,3.774427011520948,99.13648266029864,8.706435158004648,359.22259011764476,9.71607574875365,599.5508345727051,8.537930703201035
10,43,0.3,163.79843435371845,8.348119848340694,346.47466675368236,8.20245249762952,1029.0983428455177,11.216140979767726,1872.9242479877132,13.872531858603175
11,43,0.3,138.14365430988934,11.500243437651001,522.5825137579286,9.366280250754695,1215.5780344780871,10.35672965330842,1888.9962465327608,8.123235851476357
12,43,0.3,151.44886664213243,26.96693921568728,519.2117169857497,6.12968566493231,1143.2279348135523,10.444257189898877,1878.7520725465254,6.9805201209329155
13,43,0.3,172.14472611120175,10.209220746996595,426.42488543284924,10.008573836653799,1048.3649580718975,8.132028990988275,2113.4248864053243,9.114848346040336
14,43,0.3,137.4288459047333,11.47794613304772,442.2785184146381,10.463572316451511,1331.5836066468528,7.348531874057802,1816.473705800906,11.353287541652357
15,45,0.31,198.68792124293427,7.499658414389678,562.1556085936795,6.38910913446586,1172.8660163037657,8.135993485435307,2256.4093420178033,7.4613430161086995
16,45,0.31,192.0988043986511,7.846729489870418,548.5746976226665,9.04782873399289,1376.435976926839,8.659707956320723,2299.314463219027,11.37634452560249
17,45,0.31,91.89525524448634,8.952822382059713,643.5006142216203,11.162427642771174,1498.680026834093,8.24904141747816,2291.387191799804,9.653918497745643
18,45,0.31,196.21143119197103,12.310505384373396,498.74853072796884,8.523641008877242,1180.3723145133495,9.639456617004068,2408.785978624887,11.969387022190242
19,45,0.31,63.033027467849436,10.605668631790147,502.6635781286692,20.267550490284204,1523.346427236947,9.450575481760776,2108.2953285773865,8.54465313211481
20,39,0.39,117.84056692280498,8.629748748518518,417.4845224422826,7.170153462477565,831.7011873973986,6.109829033477336,1513.4739338950192,9.126940714290308
21,39,0.39,60.563333707191404,7.1882976997214865,270.66083757335605,9.266887043977944,762.1860344703227,8.274496498139165,1489.5982424859162,8.797827499385878
22,39,0.39,140.52778141240307,9.858555279356251,384.62207268661416,8.032034384876582,760.4310285765209,9.040919022616468,1542.7821485396803,8.657861721258438
23,39,0.39,98.94085028689662,12.236865791391917,350.994604384007,5.826598844845073,759.4864116201846,8.687987136423907,1471.0705490703604,7.345495745418697
24,39,0.39,60.90226082616507,9.599706591682935,305.378215901386,6.2460080385042245,772.8947973726029,6.6612309035159,1525.3563224584177,9.132512815304487
25,47,0.22,186.44370843306987,8.655451492600644,831.0856872564741,6.130344638085131,1680.6992563028277,9.33429657226938,2686.960242940029,13.365708805306875
26,47,0.22,211.54389166115874,12.533063058353076,746.3595745707809,7.245006937485096,1682.7142752608838,7.003287248185128,2896.0416237515365,10.798536350017383
27,47,0.22,184.1486274942664,7.630791577976675,700.6687476834268,8.938600298270185,1824.1263540033965,9.505699914821827,2597.353408366889,8.104912866201207
28,47,0.22,286.11766765426336,10.297265553588792,816.0411614087648,5.8129897020635255,1378.1617585693525,8.942926674425866,2787.9118102657503,10.235460472767192
29,47,0.22,105.80249123422831,7.570062242369745,565.3871838454816,9.325188609547082,1407.778083405261,11.484534718957601,2316.7354524861103,10.06450091977668
30,36,0.25,25.129739057779226,5.843010684084884,347.950532107704,9.50655455494045,606.4761694011876,12.264332235050793,1121.117926527863,10.383996551305973
