,n,p,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
0,31,0.37,74.2864620185085,16.08517299279237,263.15477455918966,12.242409761210052,464.94115107901007,12.756891268081645,829.8141279326371,12.19581407000918
1,44,0.17,160.14393768008327,7.96870807816595,565.8782341199133,10.644065679529707,1300.0068805354736,11.006990764528103,1794.846339068961,22.27417619671639
2,32,0.06,114.92761463939716,23.31552165597,166.97227980978536,26.164313214266055,338.27979367648896,26.468011193875693,557.8147199111843,28.21058732764503
3,36,0.31,142.61904443058637,12.639442036496611,295.69160121981247,8.107586544261347,658.9148489304451,9.32612944044692,1137.4511397716556,16.414136119193714
4,35,0.07,96.52263440465688,12.518329742754002,275.650436054839,25.168690319002216,407.8945031161538,26.06384299018683,562.512621381736,28.254420946844604
5,33,0.09,65.91075693361746,10.42434473017788,210.65570595516832,24.40417252995137,384.6788089682161,28.554666481744206,581.5804081237553,28.00202034463759
6,38,0.18,100.41489114492984,11.54190059491897,323.3688079391709,9.020933627546846,804.746160336964,8.745408466373442,1270.562835937368,22.09890395337525
7,30,0.07,89.94098372025684,9.181911761011774,211.92367649378068,32.834622509080404,278.93023826419113,28.763997792546647,428.33103845660645,29.120398436378874
8,45,0.22,203.42128090645912,10.162724437811317,603.4533434161109,13.582069218803039,1320.390137110364,9.657559107521593,2281.2124203591707,15.45836248022031
9,39,0.13,119.87629441357493,7.5328524965757815,408.59101013299227,17.352380402585236,728.8739125466115,22.302556178606206,1120.340530790862,24.42627025565473
10,35,0.22,91.67533167973579,14.124347235823844,338.2883434991604,10.069980923074576,615.0250888105692,14.935489015816387,1083.297729628113,15.493972754599286
11,31,0.23,56.97413333911824,5.392246298828969,191.10861237730617,10.371277977133703,420.85866093961357,18.04643465941554,771.9025514262469,12.095031245876458
12,50,0.3,181.68425416572836,11.711494675858626,851.4865027618123,9.80145639862333,1743.7869905029656,10.243621494906135,3136.7978188272677,14.978963249077996
13,44,0.08,218.39156069049938,10.424350916186988,487.8007565205803,20.78628062390697,876.4107027274208,23.237235525852864,1260.7597209754415,25.757051197469174
14,42,0.15,169.8323060109287,13.20421484278651,447.809303518275,10.148620694854197,985.0386796017302,22.541682581310777,1529.4639636201662,22.574976954898457
15,37,0.18,133.93649495133167,11.035489808910704,332.79108822950104,10.968480183344687,762.2899733426447,9.690762210280116,1114.690374032742,20.437287550517997
16,32,0.24,82.81938628772349,10.714818867849878,204.7501172193504,13.227572513412783,492.82629194221954,9.046937064485727,779.2047432876541,11.481229706514831
17,43,0.29,140.76082834725932,6.848980924773119,527.9577509365512,14.623757058682461,1004.8164788140139,7.971740263765519,1929.1054988540045,9.543826045754694
18,45,0.08,209.10901507633739,12.829735339567131,509.0024369838742,19.604578173903313,916.7582304812039,26.780313973119178,1432.3587063348214,25.25826420412002
19,45,0.11,132.86259966138613,13.26749988906307,650.7849788654985,14.898133987327315,1155.1078015017115,22.809907652015397,1692.2604930998534,27.64308125968898
20,48,0.24,191.7674967839976,7.076955960388615,670.7080009683406,9.631618663966934,1614.1942263311141,11.105242390945689,2810.1556135098986,12.351850910064966
21,45,0.07,178.94744588137956,12.719661162878698,550.5544667908073,22.74615016630979,849.922649550833,21.3040272206489,1263.2402345707233,26.449468881203472
22,40,0.05,148.74597293016325,31.8122142027623,310.74286297062054,25.91397517789956,539.583700839453,26.16715256234357,786.8684684821656,25.00548322041691
23,35,0.25,77.13710673420566,13.257673368003879,313.1727945535236,12.305654366077766,657.6941938214669,16.071841153993073,1045.503309023745,14.108781541901523
24,33,0.11,75.50704156477549,18.09074245136219,260.77996299596566,25.186432086663533,390.93184843873274,27.045271585894323,570.1865348753707,24.475079532465816
25,41,0.15,123.58758207125719,9.933458082800962,467.56123912124264,8.582791240260503,975.6241370215195,20.840918586700475,1389.282453727566,25.6098556016218
26,33,0.17,79.76413578123733,10.378850419287245,218.4457774751743,18.56656930498439,550.6685323336774,14.718706854688556,744.1307537777092,21.86179677616635
27,38,0.14,251.67257486635654,12.888897753414868,513.0422106969789,10.927454743691134,857.9773726027253,21.872616748693556,1102.3613878282758,22.956335229586543
28,43,0.22,176.72987060000358,13.082756606275536,525.5858827856123,15.326703929097116,1067.3889221719048,10.109440070572125,2071.6510790640523,16.979666168641693
29,38,0.38,153.05009622252643,7.7185362066274505,336.79294666958674,10.005713439665955,800.0149884374587,9.243872001433283,1328.3436707889464,11.057511498949022
