,n,p,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
0,47,0.36,149.08717086490412,69.05998306064488,823.3595686952018,64.56007438643844,1758.29614370612,75.79562088509428,2731.437792513176,69.0978770266438
1,47,0.36,172.6844682813629,45.11321354837894,534.3109217476444,75.33850659588066,1545.149336963841,58.862982600177894,2495.157447577226,101.40308516304741
2,47,0.36,162.61951756730886,70.39238037825046,773.9369135507397,40.26526292260105,1482.0759327386097,53.61797908542845,2511.3448380778395,75.53689672819701
3,47,0.36,75.68335637640368,78.66792847432839,556.471076173822,84.72392439450635,1302.8052650556342,66.07531821489894,2446.517587592384,76.11224021855767
4,47,0.36,109.9550798180486,106.52675820009509,658.6268220155741,102.24134559922967,1319.3985825940115,69.98438665246402,2723.6978828730216,75.7578281614944
5,30,0.32,42.81763802065413,135.99514343193644,111.4451544340816,292.6485878907127,351.87958185373463,106.08964039271353,615.2959922161249,116.77545597613621
6,30,0.32,92.9295613357078,73.12436827209225,102.84267797137885,68.54990344405421,361.2907179033125,183.36923060986567,652.1402588887714,147.0515153823371
7,30,0.32,46.0058342562924,127.17865574053252,186.88623161322306,331.41317065386477,374.55410766203056,110.58994958612236,819.6375246091959,284.4978123103535
8,30,0.32,195.19485243613775,69.66631264367301,87.73572431310572,130.81204940072197,197.447157252103,169.73378102996796,443.06627284992896,198.0682786057137
9,30,0.32,71.5455757360188,42.98228704688745,194.12103709257244,102.96143131574513,455.0213576868937,201.4258778662866,728.4595139160479,192.0683780213173
10,36,0.32,127.64236089189495,50.33928523510043,157.98783402249614,78.45773532723692,473.2648271227961,94.56218670017614,1105.4169432981712,142.42292896602297
11,36,0.32,44.91283342300315,48.59176010911789,297.23976855276885,42.392434042480595,629.304184819063,117.73476422397107,1102.146161996173,105.34618977517016
12,36,0.32,45.427167305360875,70.00186959121504,305.89093936742995,77.55432546785026,595.93732469883,80.68335821887348,1056.8824240929566,104.99985157213143
13,36,0.32,99.96636122403243,44.21776137344859,277.18031109769566,138.51921845502991,676.1298454311766,98.31350694838713,1119.4423203567976,193.54530184561384
14,36,0.32,68.71545280647284,52.76812061236504,303.86515913386165,67.13473157989361,725.7637884503877,98.12406630083598,1151.4707973703512,150.99800034002845
15,43,0.25,78.79510430884746,61.4066885220143,585.4617540168176,87.36008460221002,917.5470685252712,86.32607265025052,2032.5962010743478,82.32487873604495
16,43,0.25,91.58913289600045,92.24090621730889,446.7435219492596,110.80202202847242,1197.0222395105402,96.98443545650315,2150.985853346466,109.13067523403902
17,43,0.25,122.10271026493277,42.56587054070905,602.7523579351139,99.06072090090169,1150.3151100969012,81.75761587410553,2077.454960726216,67.79189098962948
18,43,0.25,134.28123433344274,50.62824771992075,470.5516628137623,73.59478826760011,1161.5790143556078,54.02434943937061,2162.8428737265026,89.71917680213485
19,43,0.25,127.54487912295653,65.85044641973519,560.8081248379974,115.32114909541377,1042.431673334922,106.67983673878092,1915.507900290348,95.58874319603825
20,45,0.39,92.44137438451469,43.96272318381026,610.7909235854604,77.75439048345493,1299.8092461779756,83.80892510276541,1942.3865736308587,78.56100545540451
21,45,0.39,151.20115757247407,43.37912298302058,579.9129855302635,72.51584884101317,1370.5684169303809,61.010072533971936,2688.8743226277547,113.82402764589492
22,45,0.39,161.32436616144486,105.8758770168451,588.302768075723,57.63548768079852,1465.052678491535,65.96774255233248,2254.082508679382,81.09183795836387
23,45,0.39,100.97005037326487,67.99937740963227,516.590835381518,51.42213396657644,1039.8752100283878,79.08242550977192,2279.296862566177,59.976377334750815
24,45,0.39,152.89164524654726,56.07283675751981,508.1982630166354,66.3129277649868,961.1192302515865,105.00147862936112,1923.731607496576,68.48862352293432
25,42,0.31,125.95259969853461,193.761954834407,379.72267441049325,53.8751053884496,919.9621467201089,81.90243268444202,1710.01150186232,97.0476607450955
26,42,0.31,125.1560175461129,134.32176625093064,517.6730283709853,71.14106176381841,1330.3974200533726,59.00677494261127,1929.6205900785194,132.79846200036098
27,42,0.31,122.90500467326402,83.6357540020594,703.8485416185894,82.05348179892928,1099.1113766208064,123.2337182285462,1833.111406880898,101.65590797588693
28,42,0.31,35.672814279147424,58.24038535447477,441.449898251224,74.37788937330362,1214.3726200304957,74.45325534553115,1840.2345178718213,126.23786920785932
29,42,0.31,77.88589877061773,32.04568522589066,386.9059073644836,88.24177356983739,1018.1086962292381,85.98081707597464,1801.6314603937599,70.26808566219381
30,34,0.26,58.44787176290274,80.21871017183196,155.193847435888,73.62531231163878,619.8459521940101,126.59339829076944,723.6481568222426,99.92504681046302
31,34,0.26,107.83600291110315,94.41483673500507,246.83729102571735,81.79185367928366,518.6949635022982,115.71179765652634,992.6465468904861,74.70211281259479
